tweet_id	publish_date	content	trump_mention
688032668500361218	1/15/2016 16:19	Seriously? wants Arizona to ban shooting cops without their permission  https://t.co/cLdFxz5JAj #PoliceState #acab https://t.co/qazkKwkshP	F
688806755803906048	1/17/2016 19:35	What? Cop: Buy these tickets or I take your car Ain't that illegal AF?  https://t.co/5EF7W4XFsp #acab #policestate https://t.co/cLIhUmDHxU	F
688923729468985344	1/18/2016 3:19	'@FoxNews @HillaryClinton proud to be traitor?'	F
689515696477208576	1/19/2016 18:32	What? Mysterious malfunction?  https://t.co/802WnLvqwN https://t.co/DSZsLqpAD6	F
683363054621454336	1/2/2016 19:03	Johannes Mehserle, the cop who murdered #OscarGrant, did 1 year in jail and is currently still a COP!  Justice? No https://t.co/5QDTtHr6Tn	F
690619479114567680	1/22/2016 19:38	What? Cops who killed Michael Marshall won't be prosecuted  https://t.co/Z9tj6QzEnt #BlackLivesMatter  #Policestate https://t.co/geJhpdt0FW	F
690672826366320641	1/22/2016 23:10	Walsh and March are off the streets cuz their reports contradict what is seen on video. Oh really? #LaquanMcDonald https://t.co/Q6gWHLr4ZF	F
690953905987977216	1/23/2016 17:47	#Justice? NO Kwame Kilpatrick vs Rick Snyder #FlintWaterCrisis  #BlackTwitter https://t.co/PsJzufNmGr	F
691015063587586048	1/23/2016 21:50	America's prosecutors: 95% white and 79% male  Equality? Justice? Diversity? NO NO and NO #BlackLivesMatter https://t.co/QAaeHbvS5G	F
690741510417985536	1/23/2016 3:43	How about being Black woman in Hollywood?  https://t.co/sTsZ7HiI6k #OscarsSoWhite #OscarsBoycott #equality https://t.co/9tQPWHxj0l	F
691310519915917312	1/24/2016 17:24	A boy gets kicked outta school for saying 'ISIS' but this is perfectly acceptable?  https://t.co/SI1nWTxkLv #racism https://t.co/cDp9fZs8ie	F
691344240396271617	1/24/2016 19:38	Voting? Nah Cleveland grand jury never voted to indict the cop who shot #TamirRice  https://t.co/xTs0YEt3qY #BLM https://t.co/BFo0Bv6PwF	F
691358572286861312	1/24/2016 20:35	Tennessee cops profiting off drug trade?  https://t.co/M7UdoH2OUM #Policestate #acab https://t.co/Du2YKF6vFy	F
691370112436326401	1/24/2016 21:20	'@ShaunKing @MichaelsStores cant say N word? Write it'	F
691405883696238593	1/24/2016 23:43	The fuck? Cops be like: lets hire some murderers.  https://t.co/W4g1pRpUFF #PoliceState https://t.co/D1C7MLSdVV	F
691765056959164416	1/25/2016 23:30	Tf? Man tried to save his dogs from burning house. Got beaten and arrested by #cops!  https://t.co/RIgDI3VlvG #ACAB https://t.co/8wN7WL12bX	F
